ID del caso,Fecha de transacción,Fecha de disputa,Monto de la transacción (USD),Tipo de tarjeta,Tipo de operación,Motivo del chargeback,Categoría del comercio,Estado de la disputa,País del cliente,Caso fallido,Tipología de fraude,Transaction_Amount,Merchant_Name,Chargeback_Status,Recuperación_CBKs,Devoluciones_Comercio,Fallido,ARN de la operación,Estado del informe,Fecha del informe,Fraude evitado (USD),País del Merchant
C-001324,2023-05-04,2023-07-08,101.57,Crédito,Operación,Reembolso no procesado,Ropa y accesorios,Ganada,Alemania,No,Robo de tarjeta,101.57 €,Comercio_351,DEVOLUCIÓN COMERCIO,0.00 €,101.57 €,0.00 €,ARN00001324,Pendiente,Pendiente,0.0,India
C-001325,2023-05-05,2023-07-19,570.82,Débito,Operación,Fraude sospechado,Ropa y accesorios,Ganada,México,No,Fraude de identidad,570.82 €,Comercio_1449,PRE-ARBITRAJE GANADO,570.82 €,0.00 €,0.00 €,ARN00001325,Hecho,2023-05-05,675.11,Canadá
C-001326,2023-05-06,2023-07-13,0.99,Crédito,Cambio de divisa,Reembolso no procesado,Comida y bebidas,Ganada,Australia,No,Uso no autorizado,0.99 €,Comercio_286,CBK GANADO,0.99 €,0.00 €,0.00 €,ARN00001326,Pendiente,Pendiente,0.0,Estados Unidos
C-001326,2023-05-06,2023-07-09,356.42,Crédito,Operación,Reembolso no procesado,Comida y bebidas,Ganada,Australia,No,Uso no autorizado,356.42 €,Comercio_286,CBK GANADO,356.42 €,0.00 €,0.00 €,ARN00001326,Pendiente,Pendiente,0.0,Estados Unidos
C-001327,2023-05-07,2023-08-01,200.47,Débito,Operación,Producto no recibido,Salud y belleza,Perdida,Estados Unidos,No,Fraude amistoso,200.47 €,Comercio_1041,PRE-ARBITRAJE NO CONTINUADO,0.00 €,0.00 €,200.47 €,ARN00001327,Hecho,2023-05-07,792.5,India
C-001328,2023-05-08,2023-07-09,187.96,Crédito,Operación,Duplicación de cargos,Salud y belleza,Ganada,India,No,Fraude de identidad,187.96 €,Comercio_1374,DEVOLUCIÓN COMERCIO,0.00 €,187.96 €,0.00 €,ARN00001328,Hecho,2023-05-08,694.14,Australia
C-001328,2023-05-08,2023-07-09,1.31,Crédito,Cambio de divisa,Duplicación de cargos,Salud y belleza,Ganada,India,No,Fraude de identidad,1.31 €,Comercio_1374,DEVOLUCIÓN COMERCIO,0.00 €,1.31 €,0.00 €,ARN00001328,Hecho,2023-05-08,694.14,Australia
C-001329,2023-05-09,2023-07-18,0.91,Débito,Cambio de divisa,Duplicación de cargos,Hogar y jardín,Ganada,Francia,Sí,Fraude amistoso,0.91 €,Comercio_376,DEVOLUCIÓN COMERCIO,0.00 €,0.91 €,0.00 €,ARN00001329,Hecho,2023-05-09,926.43,Canadá
C-001329,2023-05-09,2023-08-04,217.55,Débito,Operación,Duplicación de cargos,Hogar y jardín,Ganada,Francia,Sí,Fraude amistoso,217.55 €,Comercio_376,DEVOLUCIÓN COMERCIO,0.00 €,217.55 €,0.00 €,ARN00001329,Hecho,2023-05-09,926.43,Canadá
C-001330,2023-05-10,2023-07-10,1.08,Crédito,Cambio de divisa,Transacción no autorizada,Ropa y accesorios,Ganada,Alemania,Sí,Fraude amistoso,1.08 €,Comercio_267,CBK GANADO,1.08 €,0.00 €,0.00 €,ARN00001330,Hecho,2023-05-10,129.88,Australia
C-001330,2023-05-10,2023-07-23,864.63,Crédito,Operación,Transacción no autorizada,Ropa y accesorios,Ganada,Alemania,Sí,Fraude amistoso,864.63 €,Comercio_267,CBK GANADO,864.63 €,0.00 €,0.00 €,ARN00001330,Hecho,2023-05-10,129.88,Australia
C-001331,2023-05-11,2023-08-03,617.74,Crédito,Operación,Duplicación de cargos,Ropa y accesorios,Perdida,Alemania,No,Fraude amistoso,617.74 €,Comercio_1591,PRE-ARBITRAJE NO CONTINUADO,0.00 €,0.00 €,617.74 €,ARN00001331,Pendiente,Pendiente,0.0,Australia
C-001332,2023-05-12,2023-07-16,522.97,Crédito,Operación,Transacción no autorizada,Salud y belleza,Ganada,Canadá,Sí,Fraude amistoso,522.97 €,Comercio_1867,CBK GANADO,522.97 €,0.00 €,0.00 €,ARN00001332,Hecho,2023-05-12,938.37,México
C-001333,2023-05-13,2023-08-11,764.62,Crédito,Operación,Producto no recibido,Hogar y jardín,Ganada,Francia,No,Phishing,764.62 €,Comercio_1252,CBK GANADO,764.62 €,0.00 €,0.00 €,ARN00001333,Hecho,2023-05-13,403.59,Canadá
C-001334,2023-05-14,2023-08-03,397.34,Crédito,Operación,Duplicación de cargos,Ropa y accesorios,Ganada,Alemania,No,Robo de tarjeta,397.34 €,Comercio_1092,PRE-ARBITRAJE GANADO,397.34 €,0.00 €,0.00 €,ARN00001334,Hecho,2023-05-14,420.33,India
C-001335,2023-05-15,2023-08-04,422.15,Crédito,Operación,Fraude sospechado,Hogar y jardín,Ganada,Alemania,No,Robo de tarjeta,422.15 €,Comercio_663,DEVOLUCIÓN COMERCIO,0.00 €,422.15 €,0.00 €,ARN00001335,Hecho,2023-05-15,490.28,India
C-001336,2023-05-16,2023-07-15,0.88,Crédito,Cambio de divisa,Producto no recibido,Salud y belleza,Ganada,Reino Unido,Sí,Fraude amistoso,0.88 €,Comercio_1807,CBK GANADO,0.88 €,0.00 €,0.00 €,ARN00001336,Pendiente,Pendiente,0.0,Alemania
C-001336,2023-05-16,2023-07-19,629.56,Crédito,Operación,Producto no recibido,Salud y belleza,Ganada,Reino Unido,Sí,Fraude amistoso,629.56 €,Comercio_1807,CBK GANADO,629.56 €,0.00 €,0.00 €,ARN00001336,Pendiente,Pendiente,0.0,Alemania
C-001337,2023-05-17,2023-08-15,320.94,Crédito,Operación,Producto defectuoso,Electrónica,Perdida,Canadá,Sí,Fraude amistoso,320.94 €,Comercio_1078,PRE-ARBITRAJE NO CONTINUADO,0.00 €,0.00 €,320.94 €,ARN00001337,Pendiente,Pendiente,0.0,Australia
C-001337,2023-05-17,2023-07-21,1.49,Crédito,Cambio de divisa,Producto defectuoso,Electrónica,Perdida,Canadá,Sí,Fraude amistoso,1.49 €,Comercio_1078,PRE-ARBITRAJE NO CONTINUADO,0.00 €,0.00 €,1.49 €,ARN00001337,Pendiente,Pendiente,0.0,Australia
C-001338,2023-05-18,2023-08-01,354.13,Débito,Operación,Duplicación de cargos,Ropa y accesorios,Ganada,India,No,Fraude amistoso,354.13 €,Comercio_241,CBK GANADO,354.13 €,0.00 €,0.00 €,ARN00001338,Hecho,2023-05-18,808.87,Estados Unidos
C-001338,2023-05-18,2023-08-02,1.31,Débito,Cambio de divisa,Duplicación de cargos,Ropa y accesorios,Ganada,India,No,Fraude amistoso,1.31 €,Comercio_241,CBK GANADO,1.31 €,0.00 €,0.00 €,ARN00001338,Hecho,2023-05-18,808.87,Estados Unidos
C-001339,2023-05-19,2023-07-28,482.29,Crédito,Operación,Producto defectuoso,Comida y bebidas,Ganada,India,Sí,Fraude de identidad,482.29 €,Comercio_1518,CBK GANADO,482.29 €,0.00 €,0.00 €,ARN00001339,Hecho,2023-05-19,824.99,Australia
C-001340,2023-05-20,2023-08-18,198.81,Débito,Operación,Reembolso no procesado,Electrónica,Ganada,India,Sí,Fraude amistoso,198.81 €,Comercio_1838,PRE-ARBITRAJE GANADO,198.81 €,0.00 €,0.00 €,ARN00001340,Pendiente,Pendiente,0.0,India
C-001341,2023-05-21,2023-07-25,131.78,Débito,Operación,Transacción no autorizada,Ropa y accesorios,Ganada,Australia,Sí,Uso no autorizado,131.78 €,Comercio_1509,DEVOLUCIÓN COMERCIO,0.00 €,131.78 €,0.00 €,ARN00001341,Hecho,2023-05-21,280.41,Canadá
C-001341,2023-05-21,2023-08-05,1.0,Débito,Cambio de divisa,Transacción no autorizada,Ropa y accesorios,Ganada,Australia,Sí,Uso no autorizado,1.00 €,Comercio_1509,DEVOLUCIÓN COMERCIO,0.00 €,1.00 €,0.00 €,ARN00001341,Hecho,2023-05-21,280.41,Canadá
C-001342,2023-05-22,2023-08-04,703.29,Crédito,Operación,Duplicación de cargos,Salud y belleza,Ganada,Francia,No,Fraude amistoso,703.29 €,Comercio_1135,DEVOLUCIÓN COMERCIO,0.00 €,703.29 €,0.00 €,ARN00001342,Hecho,2023-05-22,602.51,Australia
C-001342,2023-05-22,2023-07-28,0.81,Crédito,Cambio de divisa,Duplicación de cargos,Salud y belleza,Ganada,Francia,No,Fraude amistoso,0.81 €,Comercio_1135,DEVOLUCIÓN COMERCIO,0.00 €,0.81 €,0.00 €,ARN00001342,Hecho,2023-05-22,602.51,Australia
C-001343,2023-05-23,2023-08-14,164.76,Crédito,Operación,Producto defectuoso,Entretenimiento,Ganada,Canadá,No,Robo de tarjeta,164.76 €,Comercio_1167,CBK GANADO,164.76 €,0.00 €,0.00 €,ARN00001343,Hecho,2023-05-23,166.39,México
C-001344,2023-05-24,2023-08-08,179.2,Crédito,Operación,Fraude sospechado,Comida y bebidas,Ganada,Australia,Sí,Fraude amistoso,179.20 €,Comercio_601,DEVOLUCIÓN COMERCIO,0.00 €,179.20 €,0.00 €,ARN00001344,Hecho,2023-05-24,667.73,Alemania
C-001345,2023-05-25,2023-08-08,269.19,Débito,Operación,Reembolso no procesado,Ropa y accesorios,Ganada,México,Sí,Robo de tarjeta,269.19 €,Comercio_320,PRE-ARBITRAJE GANADO,269.19 €,0.00 €,0.00 €,ARN00001345,Pendiente,Pendiente,0.0,India
C-001346,2023-05-26,2023-07-27,33.64,Crédito,Operación,Fraude sospechado,Ropa y accesorios,Ganada,India,Sí,Uso no autorizado,33.64 €,Comercio_811,DEVOLUCIÓN COMERCIO,0.00 €,33.64 €,0.00 €,ARN00001346,Hecho,2023-05-26,341.59,Australia
C-001346,2023-05-26,2023-08-01,1.39,Crédito,Cambio de divisa,Fraude sospechado,Ropa y accesorios,Ganada,India,Sí,Uso no autorizado,1.39 €,Comercio_811,DEVOLUCIÓN COMERCIO,0.00 €,1.39 €,0.00 €,ARN00001346,Hecho,2023-05-26,341.59,Australia
C-001347,2023-05-27,2023-07-29,65.2,Crédito,Operación,Producto no recibido,Electrónica,Ganada,Australia,Sí,Fraude de identidad,65.20 €,Comercio_1171,DEVOLUCIÓN COMERCIO,0.00 €,65.20 €,0.00 €,ARN00001347,Pendiente,Pendiente,0.0,Australia
C-001348,2023-05-28,2023-08-11,107.05,Débito,Operación,Reembolso no procesado,Ropa y accesorios,Ganada,India,No,Uso no autorizado,107.05 €,Comercio_419,PRE-ARBITRAJE GANADO,107.05 €,0.00 €,0.00 €,ARN00001348,Hecho,2023-05-28,568.64,India
C-001348,2023-05-28,2023-08-10,1.02,Débito,Cambio de divisa,Reembolso no procesado,Ropa y accesorios,Ganada,India,No,Uso no autorizado,1.02 €,Comercio_419,PRE-ARBITRAJE GANADO,1.02 €,0.00 €,0.00 €,ARN00001348,Hecho,2023-05-28,568.64,India
